"UserAccount","TerminalID","DeviceLabel","Badge","Scan Date/Time","First Name","Last Name","Company","Street","Street (line 2)","City","State/Province","Zip Code","Country","Phone","Email","Reg Category","Assignment","Level","Languages","Name of Waysider completing this form","Email 30 day access to these programs","Wayside is giving you these print resources now","The next adoption-related deadline will be","Digital tools in your classroom","Wayside should stay in touch about","If you had your wish, Wayside would create","Post-ACTFL shipment requested","OPTIONAL Non Sales Follow Up","Notes","LiteratureLinks","Lead Rating","VIP"
"Michelle@waysidepublishing.com","D356DF7FA99849B","Michelle Sherwood","201429","2018-10-22 14:47:35.000","Test1","Test1","Convention Data Services","Street1","Street2","St. John s","NL","A1B2C3","Canada","5551234567","jmccullagh@cdsreg.com","XX - Training","","","","","EntreCulturas 1|EntreCulturas 2|EntreCulturas 3","EntreCultures 2 and or 3|EntreCultures 1","A broader Latin line","Technology Cart","Within the next 12 months","","EntreCulturas 1b|EntreCulturas 1|EntreCulturas 2","","","","0",""
"Michelle@waysidepublishing.com","D356DF7FA99849B","Michelle Sherwood","200000","2018-10-22 15:49:51.000","MM_First","Last","Convention Data Services","Street1","Street2","City","ON","A1B2C3","Canada","5551234567","test@cdsreg.com","MM - Main Mailer","","","","","","","","","","","","","","","0",""
"Michelle@waysidepublishing.com","D356DF7FA99849B","Michelle Sherwood","206017","2018-10-22 16:08:29.000","ivan","test101","Convention Data Services","Street1","Street2","City","ON","A1B2C3","Canada","","isiew@cdsreg.com","XX - Training","","","","Michelle","EntreCulturas 1a - Spanish|EntreCulturas 1b - Spanish|EntreCulturas 1 - Spanish|EntreCulturas 2 - Spanish|EntreCulturas 3 - Spanish|Tejidos|Triangulo Aprobado|Triangulo APreciado|Azulejo|APprenons|Neue Blickwinkel|Chiarissimo Uno|Chiarissimo Due|Scandite Muros","EntreCultures Sampler|EntreCulturas 1a|EntreCulturas 1b|EntreCulturas 1|EntreCulturas 2|EntreCulturas 3|Tejidos|Triangulo Aprobado|Triangulo APreciado|Azulejo|APprenons|Neue Blickwinkel|Chiarissimo Uno|Chiarissimo Due|Scandite Muros","1 to 1|1 to 2 or more|Technology Cart|Language Lab","Before 2019|Spring 2019|Spring 2020|Fall 2019","Wayside newsletter subscription|EntreCultures 1a 1b - French|EntreCultures 1  - French|EntreCultures 2 and or 3 - French|Updates on EntreCulturas 4 - Spanish|Learning Site Updates|Updates on German 1, 2, 3","EntreCulturas 1a|EntreCulturas 1b|EntreCulturas 1|EntreCulturas 2|EntreCulturas 3|Tejidos|Triangulo APreciado|Triangulo Aprobado|Azulejo|APprenons|Neue Blickwinkel|Chiarissimo Uno|Chiarissimo Due|Scandite Muros","Jen - LS|Michelle - HR|Nicole - Marketing|Customer Support|Business Development and Sales|Steve - Product Development","Chiarissimo Tre|Spanish for heritage speakers|Elementary Spanish|Elementary French|French for heritage speakers|Elementary Mandarin|6-12 Mandarin|A broader Latin line","","","0",""
"Michelle@waysidepublishing.com","D356DF7FA99849B","Michelle Sherwood","201429","2018-11-05 15:38:18.000","Test1","Test1","Convention Data Services","Street1","Street2","St. John s","NL","A1B2C3","Canada","5551234567","jmccullagh@cdsreg.com","XX - Training","","","","","","","","","","","","","","","0",""
"Michelle@waysidepublishing.com","D356DF7FA99849B","Michelle Sherwood","201429","2018-11-05 15:38:25.000","Test1","Test1","Convention Data Services","Street1","Street2","St. John s","NL","A1B2C3","Canada","5551234567","jmccullagh@cdsreg.com","XX - Training","","","","Nicole","EntreCulturas 1a - Spanish|EntreCulturas 1b - Spanish|EntreCulturas 1 - Spanish|EntreCulturas 2 - Spanish|EntreCulturas 3 - Spanish|Tejidos|Triangulo Aprobado|Triangulo APreciado|Azulejo|APprenons|Neue Blickwinkel|Chiarissimo Uno|Chiarissimo Due|Scandite Muros","EntreCulturas 1b|EntreCulturas 1|EntreCulturas 2|EntreCulturas 3|Tejidos|Triangulo Aprobado|Triangulo APreciado|Azulejo|APprenons|Neue Blickwinkel|Chiarissimo Uno|Chiarissimo Due|Scandite Muros|EntreCultures Sampler|EntreCulturas 1a","1 to 1|1 to 2 or more|Technology Cart|Language Lab","Before 2019|Spring 2019|Spring 2020|Fall 2019","Wayside newsletter subscription|EntreCultures 1a 1b - French|EntreCultures 1  - French|EntreCultures 2 and or 3 - French|Updates on EntreCulturas 4 - Spanish|Updates on German 1, 2, 3|Learning Site Updates","EntreCulturas 1a|EntreCulturas 1b|EntreCulturas 1|EntreCulturas 2|EntreCulturas 3|Tejidos|Triangulo Aprobado|Triangulo APreciado|Azulejo|APprenons|Neue Blickwinkel|Chiarissimo Uno|Chiarissimo Due|Scandite Muros","Business Development and Sales|Customer Support|Steve - Product Development|Michelle - HR|Jen - LS|Nicole - Marketing","Spanish for heritage speakers|Elementary Spanish|Chiarissimo Tre|Elementary French|French for heritage speakers|Elementary Mandarin|6-12 Mandarin|A broader Latin line","","","0",""
"smillette@waysidepublishing.com","428CE2B901FB45A","Stefanie Millette","201429","2018-11-07 16:00:18.000","Test1","Test1","Convention Data Services","Street1","Street2","St. John s","NL","A1B2C3","Canada","5551234567","jmccullagh@cdsreg.com","XX - Training","","","","Michelle","EntreCulturas 1 - Spanish|EntreCulturas 1a - Spanish|EntreCulturas 1b - Spanish|EntreCulturas 2 - Spanish|EntreCulturas 3 - Spanish|Triangulo APreciado|Triangulo Aprobado|Tejidos|Azulejo|APprenons|Chiarissimo Due|Scandite Muros|Chiarissimo Uno","EntreCultures Sampler|EntreCulturas 1a|EntreCulturas 1b|EntreCulturas 1|EntreCulturas 2|EntreCulturas 3|Tejidos|Triangulo Aprobado|Triangulo APreciado|Azulejo|APprenons|Neue Blickwinkel|Chiarissimo Uno|Chiarissimo Due|Scandite Muros","Before 2019|Spring 2019|Spring 2020|Fall 2019","1 to 1|1 to 2 or more|Technology Cart|Language Lab","Wayside newsletter subscription|EntreCultures 123 - Level 1 coming 2019|EntreCulturas 1a 1b Spanish|Triangulo APreciado|Updates on EntreCulturas 4 - Spanish|Updates on German 1, 2, 3|Learning Site Updates","Chiarissimo Tre|Elementary French|Elementary German|Elementary Spanish|Elementary Mandarin|Mandarin 1, 2, 3","EntreCulturas 1a|EntreCulturas 1b|EntreCulturas 1|EntreCulturas 2|EntreCulturas 3|Tejidos|Triangulo Aprobado|Triangulo APreciado|Azulejo|APprenons|Chiarissimo Uno|Neue Blickwinkel|Scandite Muros|Chiarissimo Due","Customer Support -additional follow up needed|Jay - Training type questions|Steve - new product ideas|Sofia - sales hiring|Jen - Learning Site related ideas|Nicole - advertising and marketing|Michelle and Greg - other","","","0",""
"nicole@waysidepublishing.com","56DA449485534CF","Nicole Lyons","201429","2018-11-08 14:13:50.000","Test1","Test1","Convention Data Services","Street1","Street2","St. John s","NL","A1B2C3","Canada","5551234567","jmccullagh@cdsreg.com","XX - Training","","","","Jay","EntreCulturas 3 - Spanish|EntreCulturas 2 - Spanish|EntreCulturas 1 - Spanish","","","","","","","Steve - new product ideas","","","0",""
"smillette@waysidepublishing.com","428CE2B901FB45A","Stefanie Millette","200000","2018-11-12 14:45:11.000","MM_First","Last","Convention Data Services","Street1","Street2","City","ON","A1B2C3","Canada","5551234567","test@cdsreg.com","MM - Main Mailer","","","","Stefanie","EntreCulturas 1a - Spanish|EntreCulturas 1b - Spanish|EntreCulturas 1 - Spanish|EntreCulturas 2 - Spanish|EntreCulturas 3 - Spanish|Tejidos|Triangulo APreciado|Azulejo|EntreCultures 1 - Unit 1 - French|APprenons|Neue Blickwinkel|Chiarissimo Uno|Chiarissimo Due|Scandite Muros","EntreCultures Unit 1 Sampler - French|EntreCulturas 1a - Spanish|EntreCulturas 1b - Spanish|EntreCulturas 1 - Spanish|EntreCulturas 2 - Spanish|EntreCulturas 3 - Spanish|Tejidos|Triangulo Aprobado|Triangulo APreciado|Azulejo|APprenons|Neue Blickwinkel|Chiarissimo Uno|Chiarissimo Due|Scandite Muros","Spring 2020","Language Lab","Learning Site Updates|Updates on German 1, 2, 3|Updates on EntreCulturas 4 - Spanish|EntreCultures 123 - Levels 1 and 2 coming 2019|Wayside newsletter subscription","Mandarin 1, 2, 3|Elementary Mandarin|Elementary Spanish|Elementary German|Elementary French|Chiarissimo Tre","EntreCulturas 3 - Spanish|Azulejo|Neue Blickwinkel|EntreCultures 1 print sampler of unit 1","Nicole - advertising and marketing, testimonials|Michelle and Greg - other","test for form","","5",""
"fmcmahon@waysidepublishing.com","E7B8C166BF5344C","Frank McMahon","206017","2018-11-13 11:01:12.000","ivan","test101","Convention Data Services","Street1","Street2","City","ON","A1B2C3","Canada","","isiew@cdsreg.com","XX - Training","","","","","","","","","","","","","","","0",""
"zmcmullin@waysidepublishing.com","195EF614D1AB4A8","Zsofia McMullin","200000","2018-11-13 11:03:17.000","MM_First","Last","Convention Data Services","Street1","Street2","City","ON","A1B2C3","Canada","5551234567","test@cdsreg.com","MM - Main Mailer","","","","","","","","","","","","","","","0",""
